query_id,candidate_id,difficulty,domain,visual_type,query,expected_pdf,expected_pages
V01,C002,easy,financial_report,financial_table,Find the page containing a blue table that compares Tesla automotive revenues regulatory credits leasing services and energy generation and storage for 2024 versus 2023.,finance_tesla_2024.pdf,52
V02,C003,easy,financial_report,bar_charts,Find the page titled Trends in Our Revenue by User Geography with four quarterly bar charts for United States and Canada Europe Asia-Pacific and Rest of World.,finance_meta_2024.pdf,65
V03,C004,hard,financial_report,segment_metrics,Find the page that combines More Personal Computing operating metrics such as Windows OEM Devices Xbox and search advertising with a fiscal 2024 summary results table.,finance_microsoft_2024.pdf,31
V04,C005,easy,financial_report,segment_table,Find the page with Apple's 2024 2023 and 2022 net sales and operating income broken down by Americas Europe Greater China Japan and Rest of Asia Pacific.,finance_apple_2024.pdf,50
V05,C011,hard,financial_report,segment_table,Find the consolidated financial-statement page that compares Compute and Networking Graphics All Other and consolidated revenue and operating income across fiscal 2025 2024 and 2023.,finance_nvidia_2025.pdf,170
V06,C013,hard,paper,performance_plots,Find the paper page that places a data-efficiency comparison of zero-shot and linear-probe transfer beside a plot of zero-shot performance versus fully supervised baselines.,paper_clip.pdf,10
V07,C014,easy,paper,architecture_diagram,Find Figure 2 comparing representation-based similarity query-document interaction all-to-all interaction and late interaction with MaxSim diagrams.,paper_colbert.pdf,2
V08,C016,hard,paper,ablation_plots,Find the long-context inference paper page containing several retrieval line plots and a Needle in a Haystack attention heatmap.,paper_minference.pdf,8
V09,C019,easy,paper,interpretability_figure,Find the page showing both a token-pooling performance curve and an interpretability example that highlights document-image patches for individual query terms.,paper_colpali.pdf,9
V10,C022,easy,paper,ablation_bar_charts,Find Figure 7 with bar-chart analyses of pretraining strategy image backbone and input resolution for CORD and DocVQA.,paper_donut.pdf,12
V11,C025,hard,public_report,multi_panel_chart,Find the South Asia recent-developments page with four small panels for activity private-sector credit trade balance and remittance inflows.,report_world_bank_gep_2025.pdf,108
V12,C026,hard,public_report,scatter_plots,Find Figure 4.11 containing multiple scatter plots of inequality in self-reported noncommunicable diseases and selected risk factors in European countries.,report_who_health_2024.pdf,88
V13,C027,easy,public_report,line_chart,查找展示2013至2023年按发表平台划分的计算机科学领域人工智能论文占比变化折线图的页面。,report_ai_index_2025_zh.pdf,32
V14,C028,easy,public_report,infographic,Find the infographic page summarizing the current status of the SDGs with a 17 percent on-track pie chart a goal-by-goal progress dashboard and data-coverage bars.,report_un_sdg_2024.pdf,6
V15,C036,hard,public_report,trend_charts,Find the page that compares progress toward WHO's three billion targets with three 2018-to-2023 trend charts and begins the Healthier population billion section.,report_who_health_2024.pdf,64
V16,C038,hard,technical_manual,pin_table,Find the ESP32-S3 pin-overview page explaining pin multiplexing and listing pin number pin name pin type and power-domain assignments.,manual_esp32_s3.pdf,16
V17,C041,easy,technical_manual,pin_diagram,Find the top-view 48-pin RGZ package diagram that labels separate 2.4 GHz Sub-1 GHz and 20 dBm RF pins for a multi-band wireless MCU.,manual_ti_cc1352p.pdf,8
V18,C044,easy,technical_manual,mechanical_drawing,Find the Raspberry Pi board physical-specification drawing with its top and side dimensions in millimetres.,manual_raspberry_pi_5.pdf,4
V19,C045,hard,technical_manual,mechanical_drawing,Find the physical-dimension page that places standard-lens and wide-lens camera module drawings side by side with different angular fields of view.,manual_raspberry_pi_camera_3.pdf,4
V20,C046,hard,technical_manual,specification_sheet,Find the one-page AI-system datasheet with a product photograph and a specification column listing eight H100 GPUs 640 GB total GPU memory networking storage and system power.,manual_nvidia_dgx_h100.pdf,1
