query_id,candidate_id,difficulty,domain,visual_type,query,expected_pdf,expected_pages
V21,C001,hard,financial_report,executive_compensation_tables,"Find the page with three vertically stacked executive compensation tables for Colette Kress, Ajay Puri, and Debora Shoquist, each comparing Target Pay, Fiscal 2025 Compensation Actions, and Fiscal 2025 Performance-Based Payouts.",finance_nvidia_2025.pdf,66
V22,C006,easy,financial_report,performance_payout_table,"Find the page headed Performance Achievement and Payouts that shows $130.5 billion revenue, $86.8 billion non-GAAP operating income, 384% three-year TSR, and a target compensation table for Jen-Hsun Huang.",finance_nvidia_2025.pdf,65
V23,C007,hard,financial_report,multi_section_financial_tables,"Find the Note 17 page with blue-banded tables comparing automotive and energy segment revenue, cost, and gross profit for 2022-2024, followed by revenue and long-lived assets by geographic area.",finance_tesla_2024.pdf,94
V24,C009,easy,financial_report,accounting_tables,"Find the page that contains Note 13 Unearned Revenue by Productivity and Business Processes, Intelligent Cloud, and More Personal Computing, then begins Note 14 Leases with operating and finance lease cost tables.",finance_microsoft_2024.pdf,73
V25,C010,hard,financial_report,revenue_table,"Find the Note 2 Revenue page that explains product and service revenue recognition and ends with a table of iPhone, Mac, iPad, Wearables, and Services net sales for 2024, 2023, and 2022.",finance_apple_2024.pdf,38
V26,C015,hard,paper,benchmark_cost_tables,"Find the RouteLLM page containing a benchmark-dataset similarity table for MT Bench, MMLU, and GSM8K together with a second table reporting CPT(50%) and CPT(80%) cost-saving ratios.",paper_routellm.pdf,9
V27,C017,easy,paper,ablation_table_and_curve,"Find the LayoutLMv3 ablation page with Table 3 comparing image embeddings and MLM, MIM, and WPA objectives on FUNSD, CORD, RVL-CDIP, and PubLayNet, plus a colored loss-convergence curve.",paper_layoutlmv3.pdf,7
V28,C018,hard,paper,mixed_tables_and_plots,"Find the RAG experiment page that combines human Jeopardy assessments, distinct tri-gram ratios, a large development-set ablation table, and three plots showing performance as more documents are retrieved.",paper_rag.pdf,8
V29,C020,easy,paper,benchmark_matrix,"Find the ViDoRe Benchmark V2 page with an evaluate-retriever command-line example above a large nDCG@5 model-by-dataset results matrix.",paper_vidore_v2.pdf,3
V30,C021,easy,paper,model_comparison_table,"Find the Qwen2.5-VL report page with Table 4 comparing 70B-plus models on MMLU-Pro, GPQA, MATH, HumanEval, MultiPL-E, and IFEval, followed by the General Visual Question Answering section.",paper_qwen25_vl.pdf,12
V31,C029,easy,public_report,comic_sequence,"Find the full-page four-panel commuter comic marked 8:00 AM, 8:15 AM, 8:20 AM, and 11:00 AM that shows a student encountering crowded and infrequent buses.",report_world_bank_wdr_2024.pdf,12
V32,C030,hard,public_report,six_panel_economic_figure,"Find Figure 1.2 Global economic prospects continued, with six panels covering growth downgrades, trade and financial linkages, a forecast probability fan chart, geopolitical fragmentation, conflict losses, and alternative growth scenarios.",report_world_bank_gep_2025.pdf,28
V33,C032,easy,public_report,regional_trend_chart,"查找按国家或地区分类、展示2013至2023年计算机科学领域人工智能论文发表占比变化的页面，折线末端标有东亚和太平洋地区34.46%、欧洲和中亚18.15%以及北美10.31%。",report_ai_index_2025_zh.pdf,33
V34,C033,hard,public_report,regional_grouping_map,"Find the Note to the reader page that explains SDG data sources and regional groupings and includes a colored world map with a legend for regions such as Sub-Saharan Africa, Eastern and South-Eastern Asia, and Europe and Northern America.",report_un_sdg_2024.pdf,48
V35,C035,hard,public_report,four_panel_regional_outlook,"Find Figure 2.5.2 SAR Outlook with four panels for GDP growth, primary fiscal balances, current account and trade balances, and headline inflation, comparing South Asia with South Asia excluding India.",report_world_bank_gep_2025.pdf,109
V36,C037,easy,technical_manual,peripheral_address_map,"Find Table 9-42 Peripheral File Map listing module names with base and offset address ranges for PMM, ports, timers, DMA channels, eUSCI modules, and ADC12_B.",manual_ti_msp430fr5994.pdf,128
V37,C040,easy,technical_manual,boot_configuration_table,"Find the ESP32 Boot Configurations page that lists boot mode, VDD_SDIO voltage, U0TXD printing, SDIO timing, and JTAG source, with Table 3-1 showing default values for GPIO0, GPIO2, MTDI, MTDO, and GPIO5.",manual_esp32.pdf,22
V38,C042,hard,technical_manual,jumper_tables,"Find the Compute Module 4 IO Board page with an RTC I2C configuration tip, R4/R5 3.3V-versus-1.8V selection, J6 CSI/DSI notes, and three pin-function tables for J2, J3, and J1 jumpers.",manual_raspberry_pi_cm4_io.pdf,8
V39,C043,easy,technical_manual,feature_summary,"Find the Arduino UNO R4 Minima feature-summary page listing the 48 MHz Cortex-M4 processor, Flash/SRAM/EEPROM, digital and analog pins, peripherals, power options, and UART/SPI/I2C/CAN communication.",manual_arduino_uno_r4_minima.pdf,2
V40,C047,hard,technical_manual,signal_assignment_tables,"Find the MSP430 page that continues DMA trigger assignments for triggers 28-31, describes eUSCI and Timer_A modules, and contains Table 9-12 mapping TA0 input pins and signals to timer outputs.",manual_ti_msp430fr5994.pdf,80
