stage,id,domain,language,title,filename,download_url,source_page,expected_pages,notes
smoke,P01,paper,en,ColPali Efficient Document Retrieval with Vision Language Models,paper_colpali.pdf,https://arxiv.org/pdf/2407.01449,https://arxiv.org/abs/2407.01449,22,Project paper with equations tables and architecture figures
smoke,R01,public_report,en,UN Sustainable Development Goals Report 2024,report_un_sdg_2024.pdf,https://unstats.un.org/sdgs/report/2024/The-Sustainable-Development-Goals-Report-2024.pdf,https://unstats.un.org/sdgs/report/2024/,52,Official UN report with charts maps and infographics
smoke,M02,technical_manual,en,Raspberry Pi 5 Product Brief,manual_raspberry_pi_5.pdf,https://datasheets.raspberrypi.com/rpi5/raspberry-pi-5-product-brief.pdf,https://www.raspberrypi.com/products/raspberry-pi-5/,9,Short hardware brief with specification tables
validation,F01,financial_report,en,Tesla 2024 Form 10-K,finance_tesla_2024.pdf,https://ir.tesla.com/_flysystem/s3/sec/000162828025003063/tsla-20241231-gen.pdf,https://ir.tesla.com/,118,Official Tesla investor relations PDF
validation,F02,financial_report,en,Apple 2024 Form 10-K,finance_apple_2024.pdf,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000320193/c87043b9-5d89-4717-9f49-c4f9663d0061.pdf,https://investor.apple.com/sec-filings/sec-filings-details/default.aspx?FilingId=17933082,121,Official Apple investor relations PDF
validation,R02,public_report,en,World Development Report 2024 Overview,report_world_bank_wdr_2024.pdf,https://documents1.worldbank.org/curated/en/099115409302442268/pdf/IDU-1db544df-9b0a-44ca-949e-26c89b9da9db.pdf,https://openknowledge.worldbank.org/,22,Official World Bank report with charts and policy summaries
validation,P02,paper,en,Qwen2.5-VL Technical Report,paper_qwen25_vl.pdf,https://arxiv.org/pdf/2502.13923,https://arxiv.org/abs/2502.13923,35,VLM architecture and evaluation tables
validation,P06,paper,en,LayoutLMv3 Pre-training for Document AI,paper_layoutlmv3.pdf,https://arxiv.org/pdf/2204.08387,https://arxiv.org/abs/2204.08387,20,Document AI paper with diagrams and tables
validation,M01,technical_manual,en,ESP32 Series Datasheet,manual_esp32.pdf,https://www.espressif.com/sites/default/files/documentation/esp32_datasheet_en.pdf,https://www.espressif.com/en/support/documents/technical-documents,76,Dense hardware tables pin diagrams and timing charts
validation,M04,technical_manual,en,NVIDIA H100 NVL GPU Product Brief,manual_nvidia_h100_nvl.pdf,https://www.nvidia.com/content/dam/en-zz/Solutions/Data-Center/h100/PB-11773-001_v01.pdf,https://www.nvidia.com/en-us/data-center/h100/,23,GPU architecture specifications NVLink topology and hardware diagrams
final,P03,paper,en,ColBERT Efficient and Effective Passage Search,paper_colbert.pdf,https://arxiv.org/pdf/2004.12832,https://arxiv.org/abs/2004.12832,26,Late interaction method background
final,P04,paper,en,Retrieval-Augmented Generation for Knowledge-Intensive NLP,paper_rag.pdf,https://arxiv.org/pdf/2005.11401,https://arxiv.org/abs/2005.11401,23,Foundational RAG paper
final,P05,paper,en,Learning Transferable Visual Models From Natural Language Supervision,paper_clip.pdf,https://arxiv.org/pdf/2103.00020,https://arxiv.org/abs/2103.00020,48,CLIP paper with plots and benchmark tables
final,P07,paper,en,OCR-free Document Understanding Transformer,paper_donut.pdf,https://arxiv.org/pdf/2111.15664,https://arxiv.org/abs/2111.15664,17,OCR-free document understanding comparison
final,P08,paper,en,ViDoRe Benchmark V2,paper_vidore_v2.pdf,https://arxiv.org/pdf/2505.17166,https://arxiv.org/abs/2505.17166,20,Visual retrieval benchmark paper
final,P09,paper,en,RouteLLM Learning to Route LLMs,paper_routellm.pdf,https://arxiv.org/pdf/2406.18665,https://arxiv.org/abs/2406.18665,22,Model routing paper with cost-quality plots
final,P10,paper,en,MInference 1.0,paper_minference.pdf,https://arxiv.org/pdf/2407.02490,https://arxiv.org/abs/2407.02490,31,Sparse attention paper with algorithm figures
final,F03,financial_report,en,NVIDIA 2025 Annual Report,finance_nvidia_2025.pdf,https://s201.q4cdn.com/141608511/files/doc_financials/2025/annual/NVIDIA-2025-Annual-Report.pdf,https://investor.nvidia.com/financial-info/annual-reports-and-proxies/default.aspx,100,Official investor relations PDF
final,F04,financial_report,en,Meta 2024 Annual Report,finance_meta_2024.pdf,https://s21.q4cdn.com/399680738/files/doc_financials/2024/ar/Meta-12-31-2024-10K-ARS.pdf,https://investor.atmeta.com/financials/default.aspx,134,Official Meta investor relations annual report with financial tables and risk disclosures
final,F05,financial_report,en,Microsoft 2024 Annual Report,finance_microsoft_2024.pdf,https://www.annualreports.com/HostedData/AnnualReports/PDF/NASDAQ_MSFT_2024.pdf,https://www.microsoft.com/en-us/investor/annual-reports,110,PDF mirror of public annual report
final,R03,public_report,zh,Stanford AI Index Report 2025 Chinese Edition,report_ai_index_2025_zh.pdf,https://hai.stanford.edu/assets/files/hai_ai_index_report_2025_chinese_version_061325.pdf,https://hai.stanford.edu/ai-index/2025-ai-index-report,450,Official Chinese translation rich in charts and tables
final,R04,public_report,en,WHO World Health Statistics 2024,report_who_health_2024.pdf,https://iris.who.int/server/api/core/bitstreams/74b12494-f213-4b5b-9533-18442147e1fb/content,https://www.who.int/publications/i/item/9789240094703,86,Official WHO report with health tables and charts
