query_id,difficulty,domain,answerable,query,expected_pdf,expected_pages,reference_answer,required_facts
A01,hard,financial_report,true,"根据特斯拉分部报告页面，分别给出2024年汽车业务和能源生产及储能业务的收入与毛利润，并给出2024年美国地区收入。",finance_tesla_2024.pdf,94,"2024年汽车业务收入876.04亿美元、毛利润148.10亿美元；能源生产及储能业务收入100.86亿美元、毛利润26.40亿美元；美国地区收入477.25亿美元。","汽车收入87604百万美元|汽车毛利润14810百万美元|能源收入10086百万美元|能源毛利润2640百万美元|美国收入47725百万美元"
A02,easy,financial_report,true,"微软2024财年末三个业务分部的未实现收入分别是多少，总额是多少？页面预计未来12个月确认剩余履约义务收入的比例是多少？",finance_microsoft_2024.pdf,73,"生产力和业务流程308.79亿美元，智能云231.17亿美元，更多个人计算61.88亿美元，总计601.84亿美元；预计未来12个月确认约45%。","生产力和业务流程30879百万美元|智能云23117百万美元|更多个人计算6188百万美元|总计60184百万美元|未来12个月约45%"
A03,easy,financial_report,true,"苹果2024年的iPhone、Services和总净销售额分别是多少？Services相较2023年增加了多少？",finance_apple_2024.pdf,38,"iPhone净销售额2011.83亿美元，Services为961.69亿美元，总净销售额3910.35亿美元；Services较2023年的852.00亿美元增加109.69亿美元。","iPhone 201183百万美元|Services 96169百万美元|总净销售额391035百万美元|Services较2023年增加10969百万美元"
A04,hard,paper,true,"RouteLLM页面中，MT Bench与Arena及加入LLM评审数据后的Arena相似度分别是多少？在CPT(50%)和CPT(80%)下，MT Bench的成本节省比分别是多少？",paper_routellm.pdf,9,"MT Bench与Arena的相似度为0.6078，与加入LLM评审数据后的Arena相似度为0.6525；MT Bench在CPT(50%)和CPT(80%)下的成本节省比分别为3.66和2.49。","Arena相似度0.6078|加入LLM评审数据后0.6525|CPT50为3.66|CPT80为2.49"
A05,hard,paper,true,"LayoutLMv3消融表中，加入MLM、MIM和WPA三个目标的模型在FUNSD、CORD、RVL-CDIP和PubLayNet上分别取得什么结果？损失曲线最终约为多少？",paper_layoutlmv3.pdf,7,"模型4使用MLM+MIM+WPA，在FUNSD、CORD、RVL-CDIP和PubLayNet上分别为89.78、96.49、95.53和94.43；损失曲线最终约为0.36。","MLM+MIM+WPA|FUNSD 89.78|CORD 96.49|RVL-CDIP 95.53|PubLayNet 94.43|最终损失约0.36"
A06,hard,paper,true,"RAG论文的人工评价中，RAG在事实性和具体性上优于BART的比例分别是多少？RAG-Sequence在MSMARCO和Jeopardy问题生成上的distinct tri-gram比例是多少？",paper_rag.pdf,8,"RAG在事实性和具体性上优于BART的比例分别为42.7%和37.4%；RAG-Sequence在MSMARCO和Jeopardy问题生成上的distinct tri-gram比例分别为83.5%和53.8%。","事实性42.7%|具体性37.4%|MSMARCO 83.5%|Jeopardy 53.8%"
A07,easy,public_report,true,"2023年东亚和太平洋、欧洲和中亚、北美在计算机科学领域人工智能论文发表中的占比分别是多少？东亚和太平洋地区的引用量占比是多少？",report_ai_index_2025_zh.pdf,33,"论文发表占比分别为东亚和太平洋34.46%、欧洲和中亚18.15%、北美10.31%；东亚和太平洋的引用量占比为37.1%。","东亚和太平洋发表34.46%|欧洲和中亚18.15%|北美10.31%|东亚和太平洋引用37.1%"
A08,hard,public_report,true,"世界银行全球经济展望页面预计新兴市场和发展中经济体在2025年以及2026至2027年的增长率分别是多少？该页列出的全球前景主要风险方向是什么？",report_world_bank_gep_2025.pdf,28,"新兴市场和发展中经济体预计2025年增长3.8%，2026至2027年小幅升至3.9%；全球前景风险明显偏向下行，贸易紧张、政策不确定性、地缘政治冲突和金融风险可能进一步削弱增长。","2025年3.8%|2026至2027年3.9%|风险偏向下行|贸易或政策不确定性风险|地缘政治或金融风险"
A09,easy,public_report,true,"南亚展望图预计南亚2025年的增长率是多少，2026至2027年的平均增长率是多少？不含印度的南亚增长与整个南亚相比如何？",report_world_bank_gep_2025.pdf,109,"南亚预计2025年增长5.8%，2026至2027年平均增长6.2%；不含印度时，预测期内的增长率低于整个南亚。","2025年5.8%|2026至2027年平均6.2%|不含印度增长更低"
A10,easy,technical_manual,true,"ESP32启动配置中，芯片启动模式、VDD_SDIO电压、U0TXD打印和SDIO Slave时序分别使用哪些strapping pins？表中的GPIO0和GPIO2默认配置与位值是什么？",manual_esp32.pdf,22,"芯片启动模式使用GPIO0和GPIO2，VDD_SDIO使用MTDI，U0TXD打印使用MTDO，SDIO Slave时序使用MTDO和GPIO5；GPIO0默认为上拉且位值1，GPIO2默认为下拉且位值0。","启动模式GPIO0和GPIO2|VDD_SDIO使用MTDI|U0TXD使用MTDO|SDIO时序使用MTDO和GPIO5|GPIO0上拉位值1|GPIO2下拉位值0"
A11,hard,technical_manual,true,"Compute Module 4 IO Board页面中，如何启用RTC的I2C总线、RTC地址是多少，R4和R5分别对应什么IO电压？J2的1-2、3-4和13-14引脚分别有什么作用？",manual_raspberry_pi_cm4_io.pdf,8,"在config.txt中设置dtparam=i2c_vc=on，RTC位于i2c-10的7位地址0x51；R5对应3.3V，移到R4对应1.8V；J2的1-2强制USB启动，3-4对EEPROM写保护，13-14连接按钮可从低功耗模式唤醒CM4。","dtparam=i2c_vc=on|i2c-10地址0x51|R5为3.3V|R4为1.8V|J2 1-2强制USB启动|J2 3-4写保护EEPROM|J2 13-14唤醒CM4"
A12,easy,technical_manual,true,"Arduino UNO R4 Minima使用什么处理器和频率？Flash、SRAM和EEPROM容量分别是多少？数字、模拟和PWM引脚数量分别是多少，推荐输入电压范围是多少？",manual_arduino_uno_r4_minima.pdf,2,"使用48 MHz Arm Cortex-M4处理器；具有256 kB Flash、32 kB SRAM和8 kB EEPROM；14个数字引脚、6个模拟输入、6个PWM引脚；推荐输入电压为6至24 V。","48MHz Cortex-M4|256kB Flash|32kB SRAM|8kB EEPROM|14个数字引脚|6个模拟引脚|6个PWM引脚|6至24V"
U01,hard,financial_report,false,"亚马逊2024年AWS业务的营业收入是多少？请引用对应财报页面。",,,"语料中没有亚马逊2024年财报，应明确说明现有页面无法回答。",REFUSE_NO_EVIDENCE
U02,hard,paper,false,"GPT-5预训练使用了什么优化器、学习率和全局批大小？请引用对应论文页面。",,,"语料中没有GPT-5训练论文，应明确说明现有页面无法回答。",REFUSE_NO_EVIDENCE
U03,hard,public_report,false,"这批报告中给出的法国2025年官方人口总数是多少？请引用包含该数字的页面。",,,"现有报告页面没有提供法国2025年官方人口总数，应明确说明无法根据证据回答。",REFUSE_NO_EVIDENCE
U04,hard,technical_manual,false,"iPhone 16 Pro电池的额定容量和最大充电电流是多少？请引用对应硬件手册页面。",,,"语料中没有iPhone 16 Pro硬件手册，应明确说明现有页面无法回答。",REFUSE_NO_EVIDENCE
