query_id,difficulty,domain,query,expected_pdf
E11,easy,paper,How does ColBERT use contextualized token embeddings and late interaction for efficient passage retrieval?,paper_colbert.pdf
E12,easy,paper,How does retrieval-augmented generation combine a pretrained sequence-to-sequence model with dense passage retrieval for knowledge-intensive NLP?,paper_rag.pdf
E13,easy,paper,How does CLIP learn transferable visual representations from hundreds of millions of image-text pairs and perform zero-shot classification?,paper_clip.pdf
E14,easy,paper,How does Donut perform OCR-free visual document understanding and avoid OCR errors and processing costs?,paper_donut.pdf
E15,easy,paper,What new multilingual and realistic visual document retrieval tasks are introduced in the ViDoRe Benchmark V2?,paper_vidore_v2.pdf
E16,easy,paper,How does RouteLLM learn to route queries between stronger and weaker language models to balance quality and cost?,paper_routellm.pdf
E17,easy,paper,How does MInference accelerate long-context LLM prefilling with dynamic sparse attention?,paper_minference.pdf
E18,easy,financial_report,What were NVIDIA's fiscal 2025 total revenue and Data Center revenue and how did they change from the prior year?,finance_nvidia_2025.pdf
E19,easy,financial_report,What were Meta's 2024 total revenue and advertising revenue and how did Family of Apps and Reality Labs perform?,finance_meta_2024.pdf
E20,easy,financial_report,What were Microsoft's fiscal 2024 revenue and operating income and how did its three operating segments perform?,finance_microsoft_2024.pdf
E21,easy,public_report,《2025年人工智能指数报告》如何总结人工智能在技术性能、投资、政策和教育方面的全球趋势？,report_ai_index_2025_zh.pdf
E22,easy,public_report,What global health trends does the 2024 WHO statistics report identify across SDG indicators and life expectancy after COVID-19?,report_who_health_2024.pdf
E23,easy,public_report,What does the June 2025 Global Economic Prospects report forecast for global growth amid trade tensions and policy uncertainty?,report_world_bank_gep_2025.pdf
E24,easy,technical_manual,"What power, PCIe, HDMI, USB, Ethernet, camera, and display interfaces are provided by the Raspberry Pi Compute Module 4 IO Board?",manual_raspberry_pi_cm4_io.pdf
E25,easy,technical_manual,"What GPU, memory, networking, storage, and system specifications are listed for NVIDIA DGX H100?",manual_nvidia_dgx_h100.pdf
E26,easy,technical_manual,"What microcontroller, memory, operating voltage, analog, CAN, and USB capabilities does the Arduino UNO R4 Minima provide?",manual_arduino_uno_r4_minima.pdf
E27,easy,technical_manual,"What FRAM, low-power, LEA accelerator, memory, and peripheral features are provided by the MSP430FR5994 microcontroller?",manual_ti_msp430fr5994.pdf
E28,easy,technical_manual,"What CPU, Wi-Fi, Bluetooth LE, vector instruction, security, memory, and peripheral features does the ESP32-S3 provide?",manual_esp32_s3.pdf
E29,easy,technical_manual,"What sensor, resolution, autofocus, HDR, lens, and field-of-view options are provided by Raspberry Pi Camera Module 3?",manual_raspberry_pi_camera_3.pdf
E30,easy,technical_manual,"What Sub-1 GHz, 2.4 GHz, integrated power amplifier, processor, memory, and low-power features does the CC1352P wireless MCU provide?",manual_ti_cc1352p.pdf
H11,hard,paper,Which BERT-based passage-search paper keeps a 128-dimensional representation for every query and document token and applies a MaxSim late-interaction operator?,paper_colbert.pdf
H12,hard,paper,Which system combines parametric sequence-to-sequence memory with a non-parametric dense vector index and proposes both Sequence and Token marginalization variants?,paper_rag.pdf
H13,hard,paper,Which visual representation method trains on 400 million image-text pairs and constructs zero-shot classifiers from natural-language class prompts?,paper_clip.pdf
